# Таблица химических элементов для викторины
# Формат: символ;название

H;Водород
He;Гелий
Li;Литий
Be;Бериллий
B;Бор
C;Углерод
N;Азот
O;Кислород
F;Фтор
Ne;Неон
Na;Натрий
Mg;Магний
Al;Алюминий
Si;Кремний
P;Фосфор
S;Сера
Cl;Хлор
Ar;Аргон
K;Калий
Ca;Кальций
Sc;Скандий
Ti;Титан
V;Ванадий
Cr;Хром
Mn;Марганец
Fe;Железо
Co;Кобальт
Ni;Никель
Cu;Медь
Zn;Цинк
Ga;Галлий
Ge;Германий
As;Мышьяк
Se;Селен
Br;Бром
Kr;Криптон
Rb;Рубидий
Sr;Стронций
Y;Иттрий
Zr;Цирконий
Ag;Серебро
Sn;Олово
I;Йод
Xe;Ксенон
Ba;Барий
W;Вольфрам
Pt;Платина
Au;Золото
Hg;Ртуть
Pb;Свинец
Bi;Висмут
Ra;Радий
U;Уран
